gene_name	seqname	start	end
HNRNPCL1	chr1	12832377	12863720
PRAMEF2	chr1	12842086	12876909
PRAMEF4	chr1	12864212	12901201
PRAMEF10	chr1	12877896	12913270
PRAMEF7	chr1	12901610	12935751
PRAMEF6	chr1	12923472	12962580
PRAMEF27	chr1	13034476	13071575
HNRNPCL3	chr1	13045769	13077878
PRAMEF25	chr1	13053677	13092884
HNRNPCL2	chr1	13100488	13131854
PRAMEF26	chr1	13133905	13173116
HNRNPCL4	chr1	13148914	13180631
PRAMEF9	chr1	13156848	13194459
PRAMEF13	chr1	13181188	13216409
PRAMEF18	chr1	13207695	13241154
PRAMEF5	chr1	13239198	13278435
PRAMEF8	chr1	13266304	13300137
PRAMEF33	chr1	13288539	13323907
PRAMEF15	chr1	13300581	13337598
PRAMEF14	chr1	13326892	13362134
PRAMEF19	chr1	13353431	13386947
PRAMEF17	chr1	13374632	13407629
PRAMEF20	chr1	13395450	13436328
LRRC38	chr1	13459973	13529003
PDPN	chr1	13568465	13632957
PRDM2	chr1	13685188	13840079
KAZN	chr1	13877792	15133043
TMEM51	chr1	15137532	15235478
FHAD1	chr1	15221521	15415283
EFHD2	chr1	15394888	15445339
CTRC	chr1	15423442	15464242
CELA2A	chr1	15441728	15487091
CELA2B	chr1	15450909	15506395
CASP9	chr1	15475832	15541534
DNAJC16	chr1	15511813	15607379
AGMAT	chr1	15556699	15600051
DDI2	chr1	15602458	15684044
RSC1A1	chr1	15644713	15677033
PLEKHM2	chr1	15669320	15749769
SLC25A34	chr1	15721258	15756392
TMEM82	chr1	15727499	15762982
FBLIM1	chr1	15741607	15801594
UQCRHL	chr1	15792169	15824348
SPEN	chr1	15821095	15955456
ZBTB17	chr1	15926869	15991132
SRARP	chr1	15989236	16023807
HSPB7	chr1	15999028	16034594
CLCNKA	chr1	16003875	16049050
CLCNKB	chr1	16025252	16072311
FAM131C	chr1	16042769	16088651
EPHA2	chr1	16109337	16171069
ARHGEF19	chr1	16182854	16227652
CPLANE2	chr1	16216692	16252183
FBXO42	chr1	16231840	16367480
SZRD1	chr1	16337575	16413145
SPATA21	chr1	16372117	16452424
NECAP2	chr1	16425721	16475078
NBPF1	chr1	16547319	16628562
CROCC	chr1	16725273	16987964
MFAP2	chr1	16959502	16995632
ATP13A2	chr1	16970958	17026928
ENSG00000288636	chr1	16990068	17026757
SDHB	chr1	17003664	17069032
PADI2	chr1	17051761	17134451
PADI1	chr1	17190128	17261007
PADI3	chr1	17234098	17299233
PADI4	chr1	17293195	17379004
PADI6	chr1	17357196	17416699
RCC2	chr1	17391760	17454677
ARHGEF10L	chr1	17524698	17712874
ACTL8	chr1	17740333	17842063
IGSF21	chr1	18092798	18393483
KLHDC7A	chr1	18465930	18500974
PAX7	chr1	18615846	18763866
TAS1R2	chr1	18824599	18874660
ALDH4A1	chr1	18856430	18917724
IFFO2	chr1	18889280	18971676
UBR4	chr1	19059510	19225266
EMC1	chr1	19200660	19266552
MRTO4	chr1	19236805	19275128
AKR7L	chr1	19250982	19289194
AKR7A3	chr1	19267573	19303770
AKR7A2	chr1	19288965	19327144
SLC66A1	chr1	19297326	19344300
CAPZB	chr1	19323775	19500539
MICOS10	chr1	19469403	19644821
NBL1	chr1	19581979	19673456
MICOS10-NBL1	chr1	19582067	19671927
HTR6	chr1	19649875	19695966
TMCO4	chr1	19667240	19814945
RNF186	chr1	19799029	19830283
OTUD3	chr1	19867395	19927945
PLA2G2E	chr1	19905009	19938617
PLA2G2A	chr1	19960431	19995416
PLA2G5	chr1	20013179	20106911
PLA2G2D	chr1	20096939	20134566
PLA2G2F	chr1	20124323	20165381
PLA2G2C	chr1	20146253	20201518
UBXN10	chr1	20171096	20211050
VWA5B1	chr1	20275875	20374518
CAMK2N1	chr1	20467391	20501210
MUL1	chr1	20484448	20523151
FAM43B	chr1	20537573	20570020
CDA	chr1	20574086	20633903
PINK1	chr1	20618458	20666511
DDOST	chr1	20636767	20676544
KIF17	chr1	20649014	20733017
SH2D5	chr1	20704731	20747837
HP1BP3	chr1	20725266	20802323
EIF4G3	chr1	20791292	21192285
ECE1	chr1	21202247	21360572
NBPF3	chr1	21425128	21500005
ALPL	chr1	21494397	21593410
ENSG00000289715	chr1	21532404	21569002
RAP1GAP	chr1	21581221	21684357
USP48	chr1	21663298	21798606
LDLRAD2	chr1	21797265	21840225
HSPG2	chr1	21807244	21952310
CELA3B	chr1	21962022	22013642
CELA3A	chr1	21986657	22027542
ENSG00000289694	chr1	22010142	22107943
CDC42	chr1	22037627	22116360
WNT4	chr1	22102313	22158969
ZBTB40	chr1	22413838	22546157
EPHA8	chr1	22548489	22618595
C1QA	chr1	22620077	22654678
ENSG00000289692	chr1	22621506	22659067
C1QC	chr1	22628014	22663110
C1QB	chr1	22637762	22676637
EPHB2	chr1	22695839	22936500
LACTBL1	chr1	22938043	22987866
TEX46	chr1	22995834	23034100
KDM1A	chr1	23004443	23098689
LUZP1	chr1	23069030	23192808
HTR1D	chr1	23176895	23232502
HNRNPR	chr1	23288771	23359336
ZNF436	chr1	23344448	23384836
TCEA3	chr1	23365909	23439748
ASAP3	chr1	23413563	23499568
E2F2	chr1	23491438	23546233
ID3	chr1	23542926	23574501
RPL11	chr1	23676742	23711835
ELOA	chr1	23728448	23777059
PITHD1	chr1	23763418	23803232
LYPLA2	chr1	23776145	23810539
GALE	chr1	23780599	23815781
HMGCL	chr1	23786885	23853620
FUCA1	chr1	23830077	23883290
CNR2	chr1	23855515	23928362
PNRC2	chr1	23941839	23978462
SRSF10	chr1	23949347	23995927
MYOM3	chr1	24041035	24127135
IL22RA1	chr1	24104771	24158140
IFNLR1	chr1	24139168	24202959
GRHL3	chr1	24184558	24379482
STPG1	chr1	24341999	24431934
NIPAL3	chr1	24400802	24487976
RCAN3	chr1	24487351	24556040
NCMAP	chr1	24541087	24624328
SRRM1	chr1	24616716	24688281
CLIC4	chr1	24730382	24859321
RUNX3	chr1	24884511	24980121
SYF2	chr1	25207276	25247502
RSRP1	chr1	25227249	25353213
RHD	chr1	25257393	25345445
TMEM50A	chr1	25323317	25377361
RHCE	chr1	25347249	25445192
MACO1	chr1	25415858	25515209
LDLRAP1	chr1	25528606	25583886
MAN1C1	chr1	25601791	25801206
SELENON	chr1	25785193	25833221
ENSG00000255054	chr1	25796470	25838744
MTFR1L	chr1	25803640	25847942
AUNIP	chr1	25816913	25874458
PAQR7	chr1	25846484	25890708
STMN1	chr1	25869181	25921991
PAFAH2	chr1	25944767	26013117
EXTL1	chr1	26004884	26051464
SLC30A2	chr1	26022252	26061118
TRIM63	chr1	26036301	26083436
PDIK1L	chr1	26096165	26140555
FAM110D	chr1	26144079	26178962
C1orf232	chr1	26149101	26183963
ZNF593OS	chr1	26154516	26186832
ZNF593	chr1	26154908	26185873
CNKSR1	chr1	26162484	26204884
CATSPER4	chr1	26175561	26217968
CEP85	chr1	26219200	26293808
SH3BGRL3	chr1	26265086	26296522
UBXN11	chr1	26266328	26333363
CD52	chr1	26302958	26335523
CRYBG2	chr1	26306698	26375080
ZNF683	chr1	26346634	26389522
LIN28A	chr1	26395817	26444728
DHDDS	chr1	26417282	26486306
HMGN2	chr1	26457440	26491642
RPS6KA1	chr1	26514761	26590030
ARID1A	chr1	26678236	26797104
PIGV	chr1	26772054	26815659
ZDHHC18	chr1	26811688	26872604
SFN	chr1	26848149	26879456
GPN2	chr1	26861132	26905283
GPATCH3	chr1	26875488	26915467
NUDC	chr1	26885238	26961871
NR0B2	chr1	26896489	26928975
KDF1	chr1	26934562	26975468
TRNP1	chr1	26978692	27015886
TENT5B	chr1	26990020	27027850
SLC9A1	chr1	27083809	27181981
WDTC1	chr1	27219632	27323636
TMEM222	chr1	27307145	27351400
SYTL1	chr1	27327020	27368937
MAP3K6	chr1	27340184	27381961
FCN3	chr1	27354110	27389824
CD164L2	chr1	27364176	27398333
GPR3	chr1	27377622	27410814
WASF2	chr1	27389230	27505167
AHDC1	chr1	27519035	27619431
FGR	chr1	27597064	27650185
IFI6	chr1	27651064	27687212
FAM76A	chr1	27710961	27778116
STX12	chr1	27758219	27839443
PPP1R8	chr1	27815782	27866676
THEMIS2	chr1	27857543	27901685
RPA2	chr1	27876524	27929746
SMPDL3B	chr1	27920000	27974157
XKR8	chr1	27944588	27983093
EYA3	chr1	27955344	28103637
PTAFR	chr1	28132166	28208936
DNAJC8	chr1	28184456	28248029
ATP5IF1	chr1	28221109	28261906
SESN2	chr1	28244518	28297491
MED18	chr1	28314002	28350965
PHACTR4	chr1	28354582	28515364
RCC1	chr1	28490943	28554300
TRNAU1AP	chr1	28538085	28593545
TAF12	chr1	28572829	28663291
RAB42	chr1	28577200	28610449
GMEB1	chr1	28653778	28734353
YTHDF2	chr1	28721621	28784775
OPRD1	chr1	28797170	28886267
EPB41	chr1	28872091	29135046
TMEM200B	chr1	29104429	29138903
SRSF4	chr1	29132743	29196900
MECR	chr1	29177657	29245942
PTPRU	chr1	29221516	29341813
ENSG00000289710	chr1	30561655	30591825
MATN1	chr1	30696277	30738585
LAPTM5	chr1	30717469	30772774
SDC3	chr1	30854466	30923758
PUM1	chr1	30916506	31080991
NKAIN1	chr1	31164745	31254887
SNRNP40	chr1	31244568	31311788
ZCCHC17	chr1	31281982	31379953
FABP3	chr1	31350253	31391850
SERINC2	chr1	31394565	31449680
TINAGL1	chr1	31561485	31602686
HCRTR1	chr1	31602686	31647518
PEF1	chr1	31614866	31659896
COL16A1	chr1	31637263	31719319
ADGRB2	chr1	31712117	31779893
SPOCD1	chr1	31775422	31831022
PTP4A2	chr1	31891421	31959856
ENSG00000288678	chr1	31904563	31953010
KHDRBS1	chr1	31998868	32075850
TMEM39B	chr1	32057031	32117866
KPNA6	chr1	32093056	32191563
TXLNA	chr1	32164675	32213285
CCDC28B	chr1	32185595	32220453
IQCC	chr1	32190671	32223682
DCDC2B	chr1	32194089	32231192
TMEM234	chr1	32199472	32237359
EIF3I	chr1	32206077	32260397
FAM167B	chr1	32232222	32263856
LCK	chr1	32236244	32301165
HDAC1	chr1	32277083	32348635
MARCKSL1	chr1	32318839	32351233
TSSK3	chr1	32336521	32379312
FAM229A	chr1	32346270	32379278
BSDC1	chr1	32349633	32409731
ENSG00000254553	chr1	32450057	32615792
ZBTB8B	chr1	32450072	32511686
ZBTB8A	chr1	32524427	32620941
ZBTB8OS	chr1	32585172	32665903
RBBP4	chr1	32636142	32701211
SYNC	chr1	32664906	32718596
KIAA1522	chr1	32726830	32789970
YARS1	chr1	32760237	32833031
S100PBP	chr1	32801767	32873875
FNDC5	chr1	32847268	32887482
HPCA	chr1	32870994	32913441
TMEM54	chr1	32879594	32916438
RNF19B	chr1	32921445	32979809
AK2	chr1	32992986	33095996
AZIN2	chr1	33066104	33138492
TRIM62	chr1	33130399	33197059
ZNF362	chr1	33241492	33315719
A3GALT2	chr1	33291766	33336098
PHC2	chr1	33308623	33446095
ZSCAN20	chr1	33457645	33516643
CSMD2	chr1	33498998	34180842
HMGB4	chr1	33845475	33879791
C1orf94	chr1	34151883	34234131
SMIM12	chr1	34697737	34874755
GJB5	chr1	34740047	34773512
GJB4	chr1	34744740	34777327
GJB3	chr1	34766214	34801369
GJA4	chr1	34777999	34810747
DLGAP3	chr1	34850436	34944650
ENSG00000284773	chr1	34959356	35000313
TMEM35B	chr1	34966380	35000347
ENSG00000271741	chr1	34966533	35046741
ZMYM6	chr1	34971165	35046945
ZMYM1	chr1	35017172	35130859
SFPQ	chr1	35161378	35208446
ZMYM4	chr1	35253709	35437058
KIAA0319L	chr1	35378883	35572950
NCDN	chr1	35542473	35582274
TFAP2E	chr1	35558314	35610328
PSMB2	chr1	35584541	35656526
C1orf216	chr1	35698877	35733894
CLSPN	chr1	35705218	35784978
AGO4	chr1	35793016	35872890
AGO1	chr1	35854808	35945532
AGO3	chr1	35915718	36087500
TEKT2	chr1	36069094	36103275
ADPRS	chr1	36073892	36108932
COL8A2	chr1	36080239	36140222
TRAPPC3	chr1	36121570	36171053
MAP7D1	chr1	36140579	36195849
THRAP3	chr1	36209432	36320357
SH3D21	chr1	36291368	36344340
EVA1B	chr1	36307030	36339154
STK40	chr1	36324624	36400924
LSM10	chr1	36376238	36412908
OSCP1	chr1	36400827	36465451
MRPS15	chr1	36440718	36479384
CSF3R	chr1	36451043	36498278
GRIK3	chr1	36780527	37049515
ZC3H12A	chr1	37459580	37499377
MEAF6	chr1	37474993	37529766
SNIP1	chr1	37519449	37569293
DNALI1	chr1	37541919	37581857
GNL2	chr1	37551816	37610937
RSPO1	chr1	37596350	37649892
C1orf109	chr1	37666570	37707249
CDCA8	chr1	37677481	37724719
EPHA10	chr1	37698880	37780133
MANEAL	chr1	37778847	37816137
YRDC	chr1	37787945	37823208
C1orf122	chr1	37791979	37824454
MTF1	chr1	37794574	37874592
INPP5B	chr1	37845697	37962053
SF3A3	chr1	37941975	38005075
FHL3	chr1	37981770	38020606
UTP11	chr1	37994258	38039820
POU3F1	chr1	38028829	38061793
RRAGC	chr1	38823198	38874772
MYCBP	chr1	38847493	38888368
ENSG00000274944	chr1	38849501	38896617
GJA9	chr1	38859069	38896587
RHBDL2	chr1	38870807	38956830
AKIRIN1	chr1	38976276	39021059
NDUFS5	chr1	39011318	39049636
MACF1	chr1	39066316	39502177
BMP8A	chr1	39476636	39544869
PABPC4	chr1	39545709	39591790
HEYL	chr1	39608435	39654643
NT5C1A	chr1	39636229	39687107
HPCAL4	chr1	39663648	39706485
PPIE	chr1	39677182	39778914
BMP8B	chr1	39742182	39803865
OXCT2	chr1	39754523	39786348
TRIT1	chr1	39823110	39898511
MYCL	chr1	39880428	39917256
MFSD2A	chr1	39940112	39984968
CAP1	chr1	40025233	40087649
PPT1	chr1	40057710	40112260
RLF	chr1	40146387	40255921
TMCO2	chr1	40230947	40266684
ZMPSTE24	chr1	40243041	40309180
COL9A2	chr1	40285489	40332813
SMAP2	chr1	40329850	40438326
ZFP69B	chr1	40435102	40478718
ZFP69	chr1	40462290	40511343
EXO5	chr1	40493741	40531038
ZNF684	chr1	40516573	40563167
RIMS3	chr1	40605680	40680682
NFYC	chr1	40676648	40786603
KCNQ4	chr1	40768787	40855452
CITED4	chr1	40846054	40877363
CTPS1	chr1	40964300	41027565
SLFNL1	chr1	41000589	41038237
SCMH1	chr1	41012202	41257306
FOXO6	chr1	41346922	41398590
EDN2	chr1	41463775	41499683
HIVEP3	chr1	41491365	42050925
ENSG00000284895	chr1	41570306	41643816
GUCA2B	chr1	42138410	42170820
GUCA2A	chr1	42147690	42179745
FOXJ3	chr1	42161539	42350877
RIMKLA	chr1	42365792	42439232
ZMYND12	chr1	42415329	42471253
PPCS	chr1	42441117	42488385
CCDC30	chr1	42448221	42672190
PPIH	chr1	42643335	42691758
YBX1	chr1	42667418	42718805
CLDN19	chr1	42718093	42755254
P3H1	chr1	42731335	42782084
C1orf50	chr1	42752245	42794491
ENSG00000283580	chr1	42752292	42809493
TMEM269	chr1	42769991	42831619
SVBP	chr1	42792052	42832397
ERMAP	chr1	42802122	42859991
ZNF691	chr1	42831573	42867477
SLC2A1	chr1	42910353	42973893
CFAP144	chr1	43130153	43171396
EBNA1BP2	chr1	43149175	43285936
CFAP57	chr1	43157330	43269358
TMEM125	chr1	43254983	43289002
C1orf210	chr1	43266877	43300617
TIE1	chr1	43285982	43338108
MPL	chr1	43322818	43369466
CDC20	chr1	43343981	43378203
ELOVL1	chr1	43348398	43383074
MED8	chr1	43368917	43404808
SZT2	chr1	43374882	43469247
HYI	chr1	43435989	43468989
PTPRF	chr1	43510187	43638666
KDM4A	chr1	43635149	43720518
ENSG00000284989	chr1	43635149	43946014
ST3GAL3	chr1	43690824	43946165
ARTN	chr1	43918320	43952240
IPO13	chr1	43931950	43983022
DPH2	chr1	43955000	43988369
ATP6V0B	chr1	43959487	43993295
B4GALT2	chr1	43963943	44006170
CCDC24	chr1	43976359	44011528
SLC6A9	chr1	43976500	44046467
KLF17	chr1	44103821	44150140
KLF18	chr1	44122821	44156631
DMAP1	chr1	44198455	44235681
ERI3	chr1	44206070	44370260
RNF220	chr1	44390194	44666723
TMEM53	chr1	44620238	44689481
ARMH1	chr1	44659692	44740591
KIF2C	chr1	44724818	44782767
RPS8	chr1	44760251	44793779
BEST4	chr1	44768585	44803170
PLK3	chr1	44785377	44820990
DYNLT4	chr1	44790893	44822351
BTBD19	chr1	44793523	44830585
PTCH2	chr1	44804844	44858253
EIF2B3	chr1	44835522	45001722
HECTD3	chr1	44987540	45026324
UROD	chr1	44995950	45030575
ZSWIM5	chr1	45001399	45321209
HPDL	chr1	45311895	45343710
MUTYH	chr1	45314163	45355893
ENSG00000288208	chr1	45314262	45506155
TOE1	chr1	45325052	45358973
TESK2	chr1	45328883	45506163
CCDC163	chr1	45478866	45515079
MMACHC	chr1	45485300	45528382
PRDX1	chr1	45495914	45557732
AKR1A1	chr1	45535543	45585049
NASP	chr1	45568846	45633904
CCDC17	chr1	45605044	45639057
GPBP1L1	chr1	45612304	45703113
TMEM69	chr1	45673181	45709436
IPP	chr1	45679324	45765653
MAST2	chr1	45771987	46051122
PIK3R3	chr1	46025140	46148036
P3R3URF-PIK3R3	chr1	46028661	46191488
TSPAN1	chr1	46160073	46200962
P3R3URF	chr1	46160486	46191488
POMGNT1	chr1	46173683	46235305
LURAP1	chr1	46188334	46236256
RAD54L	chr1	46231461	46293480
LRRC41	chr1	46246196	46318616
UQCRH	chr1	46288698	46331776
NSUN4	chr1	46325789	46380152
FAAH	chr1	46379317	46428848
DMBX1	chr1	46474836	46531216
TMEM275	chr1	46517166	46558969
KNCN	chr1	46530641	46566647
MKNK1	chr1	46542407	46631843
MOB3C	chr1	46592719	46631811
ATPAF1	chr1	46617737	46688867
TEX38	chr1	46653855	46688594
EFCAB14	chr1	46659659	46734146
CYP4B1	chr1	46742838	46834413
CYP4A11	chr1	46914177	46956484
CYP4X1	chr1	47008669	47065751
CYP4Z1	chr1	47052231	47133318
CYP4A22	chr1	47122435	47164727
PDZK1IP1	chr1	47168582	47206044
TAL1	chr1	47201290	47247225
STIL	chr1	47235139	47329892
CMPK1	chr1	47318790	47409866
FOXE3	chr1	47401285	47433052
FOXD2	chr1	47423044	47455691
TRABD2B	chr1	47745528	48012385
SLC5A9	chr1	48207685	48263644
SPATA6	chr1	48280373	48487208
AGBL4	chr1	48517854	50038954
BEND5	chr1	48712519	48791969
ELAVL4	chr1	50009029	50218772
DMRTA2	chr1	50402550	50438443
FAF1	chr1	50422028	50975267
CDKN2C	chr1	50945745	50989634
C1orf185	chr1	51087221	51163086
RNF11	chr1	51221273	51288447
TTC39A	chr1	51272258	51360116
EPS15	chr1	51339263	51534328
OSBPL9	chr1	51562179	51813427
NRDC	chr1	51774191	51893805
RAB3B	chr1	51892956	52005700
TXNDC12	chr1	52005131	52070191
ENSG00000285839	chr1	52005153	52048350
KTI12	chr1	52017103	52048810
BTF3L4	chr1	52041199	52105716
ZFYVE9	chr1	52127089	52363671
CC2D1B	chr1	52330723	52381205
ORC1	chr1	52357829	52419423
PRPF38A	chr1	52389602	52435836
TUT4	chr1	52393282	52568487
GPX7	chr1	52587371	52624051
SHISAL2A	chr1	52618168	52684683
COA7	chr1	52669449	52713347
ZYG11B	chr1	52711453	52842336
ZYG11A	chr1	52827511	52909998
ECHDC2	chr1	52880910	52942212
SCP2	chr1	52912276	53066698
PODN	chr1	53047052	53100501
SLC1A7	chr1	53072179	53157638
CPT2	chr1	53181792	53229197
CZIB	chr1	53199099	53235634
MAGOH	chr1	53211900	53253518
LRP8	chr1	53227364	53343469
DMRTB1	chr1	53444399	53482488
GLIS1	chr1	53491237	53754164
NDC1	chr1	53750478	53853463
YIPF1	chr1	53836719	53904798
DIO1	chr1	53876239	53926086
IFT25	chr1	53901574	53960699
LRRC42	chr1	53931085	53983168
LDLRAD1	chr1	53992298	54033186
TMEM59	chr1	54011681	54068504
TCEANC2	chr1	54038584	54127519
ENSG00000256407	chr1	54117686	54215073
CDCP2	chr1	54117687	54168770
CYB5RL	chr1	54154651	54215036
MRPL37	chr1	54169041	54240464
SSBP3	chr1	54210432	54428479
ACOT11	chr1	54527257	54654192
FAM151A	chr1	54594181	54638556
MROH7	chr1	54626754	54725266
MROH7-TTC4	chr1	54626786	54757308
TTC4	chr1	54700861	54757657
PARS2	chr1	54741898	54779523
TTC22	chr1	54764712	54816323
LEXM	chr1	54791063	54857252
DHCR24	chr1	54834627	54902195
TMEM61	chr1	54965628	55007288
BSND	chr1	54983933	55032172
PCSK9	chr1	55024447	55079852
USP24	chr1	55051359	55230378
ENSG00000284686	chr1	56158433	56539495
PLPP3	chr1	56479761	56660301
PRKAA2	chr1	56630314	56730335
FYB2	chr1	56703789	56834696
C8A	chr1	56839768	56933223
C8B	chr1	56914207	56989383
DAB1	chr1	56979778	58561734
OMA1	chr1	58400384	58561802
TACSTD2	chr1	58560433	58592252
MYSM1	chr1	58628440	58715090
JUN	chr1	58761845	58799048
FGGY	chr1	59281638	59825647
HOOK1	chr1	59799786	59891322
CYP2J2	chr1	59878308	59941773
C1orf87	chr1	59972269	60088770
NFIA	chr1	60850259	61477788
TM2D1	chr1	61666046	61740423
PATJ	chr1	61727477	62193675
L1TD1	chr1	62179849	62227328
KANK4	chr1	62221165	62334434
USP1	chr1	62421297	62466804
DOCK7	chr1	62439298	62703386
ANGPTL3	chr1	62582520	62621313
ATG4C	chr1	62769132	62880516
FOXD3	chr1	63307567	63340128
ALG6	chr1	63352575	63453553
ITGB3BP	chr1	63425770	63608721
EFCAB7	chr1	63508372	63587693
PGM1	chr1	63578411	63675245
ROR1	chr1	63759017	64196498
UBE2U	chr1	64188623	64282368
CACHD1	chr1	64455129	64708058
RAVER2	chr1	64730075	64848232
JAK1	chr1	64818223	65082754
AK4	chr1	65132549	65247145
DNAJC6	chr1	65233219	65430871
