gene_name	seqname	start	end	toy
ICMT	chr1	6221193	6235972	0
HES3	chr1	6244179	6245578	0
GPR153	chr1	6247353	6261098	0
ACOT7	chr1	6264269	6393767	0
HES2	chr1	6412418	6424670	0
ESPN	chr1	6424776	6461367	0
TNFRSF25	chr1	6460786	6466175	0
PLEKHG5	chr1	6467122	6520074	0
NOL9	chr1	6521347	6554513	0
TAS1R1	chr1	6555307	6579755	0
ZBTB48	chr1	6579994	6589280	0
KLHL21	chr1	6590724	6614607	0
PHF13	chr1	6613731	6624030	0
THAP3	chr1	6624868	6635586	0
DNAJC11	chr1	6634168	6701924	0
CAMTA1	chr1	6785454	7769706	1
VAMP3	chr1	7771296	7781432	0
PER3	chr1	7784291	7845177	0
UTS2	chr1	7843083	7853512	0
TNFRSF9	chr1	7915871	7943165	0
PARK7	chr1	7954291	7985505	0
ERRFI1	chr1	8004404	8026309	0
SLC45A1	chr1	8318114	8344167	0
RERE	chr1	8352397	8848921	0
ENO1	chr1	8861000	8879190	0
CA6	chr1	8945867	8975092	0
SLC2A7	chr1	9002973	9026423	0
SLC2A5	chr1	9035106	9088478	0
GPR157	chr1	9100305	9129102	0
H6PD	chr1	9234774	9271337	0
SPSB1	chr1	9292894	9369532	0
SLC25A33	chr1	9539465	9585173	0
TMEM201	chr1	9588911	9614877	0
PIK3CD	chr1	9629889	9729114	0
CLSTN1	chr1	9728926	9823984	0
CTNNBIP1	chr1	9848276	9910336	0
LZIC	chr1	9922113	9943407	0
NMNAT1	chr1	9943428	9985501	0
RBP7	chr1	9997206	10016021	0
UBE4B	chr1	10032832	10181239	0
KIF1B	chr1	10210570	10381603	0
PGD	chr1	10398592	10420511	0
CENPS-CORT	chr1	10430102	10452153	0
CENPS	chr1	10430433	10442808	0
CORT	chr1	10450031	10451998	0
DFFA	chr1	10456522	10472529	0
PEX14	chr1	10472288	10630758	0
CASZ1	chr1	10636604	10796650	0
C1orf127	chr1	10946471	10982076	0
TARDBP	chr1	11012344	11030528	0
MASP2	chr1	11022009	11047239	0
SRM	chr1	11054584	11060020	0
EXOSC10	chr1	11066618	11099869	0
MTOR	chr1	11106535	11262556	0
ANGPTL7	chr1	11189355	11195981	0
UBIAD1	chr1	11273198	11296049	0
DISP3	chr1	11479155	11537551	0
FBXO2	chr1	11637018	11655785	0
FBXO44	chr1	11654375	11663327	0
MAD2L2	chr1	11658918	11691811	0
FBXO6	chr1	11664200	11674354	0
DRAXIN	chr1	11691710	11725857	0
AGTRAP	chr1	11736084	11754802	0
C1orf167	chr1	11761787	11789585	0
MTHFR	chr1	11785723	11806455	0
CLCN6	chr1	11806096	11848079	0
NPPA	chr1	11845709	11848345	0
NPPB	chr1	11857464	11858945	0
KIAA2013	chr1	11919591	11926428	0
PLOD1	chr1	11934205	11975538	2
MFN2	chr1	11980181	12015211	0
MIIP	chr1	12019466	12032045	0
TNFRSF8	chr1	12063303	12144207	0
TNFRSF1B	chr1	12166991	12209228	0
VPS13D	chr1	12230030	12512047	0
DHRS3	chr1	12567910	12618210	0
AADACL4	chr1	12644085	12667076	0
AADACL3	chr1	12716110	12728760	0
CFAP107	chr1	12746200	12763699	0
PRAMEF12	chr1	12773738	12777906	0
PRAMEF1	chr1	12791397	12796628	0
PRAMEF11	chr1	12824605	12831410	0
HNRNPCL1	chr1	12847377	12848720	0
PRAMEF2	chr1	12857086	12861909	0
PRAMEF4	chr1	12879212	12886201	0
PRAMEF10	chr1	12892896	12898270	0
PRAMEF7	chr1	12916610	12920751	0
PRAMEF6	chr1	12938472	12947580	0
PRAMEF27	chr1	13049476	13056575	0
HNRNPCL3	chr1	13060769	13062878	0
PRAMEF25	chr1	13068677	13077884	0
HNRNPCL2	chr1	13115488	13116854	0
PRAMEF26	chr1	13148905	13158116	0
HNRNPCL4	chr1	13163914	13165631	0
PRAMEF9	chr1	13171848	13179459	0
PRAMEF13	chr1	13196188	13201409	0
PRAMEF18	chr1	13222695	13226154	0
PRAMEF5	chr1	13254198	13263435	0
PRAMEF8	chr1	13281304	13285137	0
PRAMEF33	chr1	13303539	13308907	0
PRAMEF15	chr1	13315581	13322598	0
PRAMEF14	chr1	13341892	13347134	0
PRAMEF19	chr1	13368431	13371947	0
PRAMEF17	chr1	13389632	13392629	0
PRAMEF20	chr1	13410450	13421328	0
LRRC38	chr1	13474973	13514003	0
PDPN	chr1	13583465	13617957	0
PRDM2	chr1	13700188	13825079	0
KAZN	chr1	13892792	15118043	0
TMEM51	chr1	15152532	15220478	0
FHAD1	chr1	15236521	15400283	0
EFHD2	chr1	15409888	15430339	0
CTRC	chr1	15438442	15449242	0
CELA2A	chr1	15456728	15472091	0
CELA2B	chr1	15465909	15491395	0
CASP9	chr1	15490832	15526534	0
DNAJC16	chr1	15526813	15592379	0
AGMAT	chr1	15571699	15585051	0
DDI2	chr1	15617458	15669044	0
RSC1A1	chr1	15659713	15662033	0
PLEKHM2	chr1	15684320	15734769	2
SLC25A34	chr1	15736258	15741392	0
TMEM82	chr1	15742499	15747982	0
FBLIM1	chr1	15756607	15786594	0
UQCRHL	chr1	15807169	15809348	0
SPEN	chr1	15836095	15940456	0
ZBTB17	chr1	15941869	15976132	0
SRARP	chr1	16004236	16008807	0
HSPB7	chr1	16014028	16019594	0
CLCNKA	chr1	16018875	16034050	0
CLCNKB	chr1	16040252	16057311	0
FAM131C	chr1	16057769	16073651	0
EPHA2	chr1	16124337	16156069	0
ARHGEF19	chr1	16197854	16212652	0
CPLANE2	chr1	16231692	16237183	0
FBXO42	chr1	16246840	16352480	0
SZRD1	chr1	16352575	16398145	0
SPATA21	chr1	16387117	16437424	2
NECAP2	chr1	16440721	16460078	0
NBPF1	chr1	16562319	16613562	0
CROCC	chr1	16740273	16972964	0
MFAP2	chr1	16974502	16980632	0
ATP13A2	chr1	16985958	17011928	0
ENSG00000288636	chr1	17005068	17011757	0
SDHB	chr1	17018664	17054032	0
PADI2	chr1	17066761	17119451	0
PADI1	chr1	17205128	17246007	0
PADI3	chr1	17249098	17284233	0
PADI4	chr1	17308195	17364004	0
PADI6	chr1	17372196	17401699	0
RCC2	chr1	17406760	17439677	0
ARHGEF10L	chr1	17539698	17697874	0
ACTL8	chr1	17755333	17827063	0
IGSF21	chr1	18107798	18378483	0
KLHDC7A	chr1	18480930	18485974	0
PAX7	chr1	18630846	18748866	0
TAS1R2	chr1	18839599	18859660	0
ALDH4A1	chr1	18871430	18902724	0
IFFO2	chr1	18904280	18956676	0
UBR4	chr1	19074510	19210266	0
EMC1	chr1	19215660	19251552	0
MRTO4	chr1	19251805	19260128	0
AKR7L	chr1	19265982	19274194	0
AKR7A3	chr1	19282573	19288770	0
AKR7A2	chr1	19303965	19312144	0
SLC66A1	chr1	19312326	19329300	0
CAPZB	chr1	19338775	19485539	0
MICOS10	chr1	19484403	19629821	0
NBL1	chr1	19596979	19658456	0
MICOS10-NBL1	chr1	19597067	19656927	0
HTR6	chr1	19664875	19680966	0
TMCO4	chr1	19682240	19799945	0
RNF186	chr1	19814029	19815283	0
OTUD3	chr1	19882395	19912945	0
PLA2G2E	chr1	19920009	19923617	0
PLA2G2A	chr1	19975431	19980416	0
PLA2G5	chr1	20028179	20091911	0
PLA2G2D	chr1	20111939	20119566	0
PLA2G2F	chr1	20139323	20150381	2
PLA2G2C	chr1	20161253	20186518	0
UBXN10	chr1	20186096	20196050	0
VWA5B1	chr1	20290875	20359518	0
CAMK2N1	chr1	20482391	20486210	0
MUL1	chr1	20499448	20508151	0
FAM43B	chr1	20552573	20555020	0
CDA	chr1	20589086	20618903	0
PINK1	chr1	20633458	20651511	0
DDOST	chr1	20651767	20661544	0
KIF17	chr1	20664014	20718017	0
SH2D5	chr1	20719731	20732837	0
HP1BP3	chr1	20740266	20787323	0
EIF4G3	chr1	20806292	21177285	0
ECE1	chr1	21217247	21345572	0
NBPF3	chr1	21440128	21485005	2
ALPL	chr1	21509397	21578410	0
ENSG00000289715	chr1	21547404	21554002	0
RAP1GAP	chr1	21596221	21669357	0
USP48	chr1	21678298	21783606	0
LDLRAD2	chr1	21812265	21825225	0
HSPG2	chr1	21822244	21937310	0
CELA3B	chr1	21977022	21998642	0
CELA3A	chr1	22001657	22012542	0
ENSG00000289694	chr1	22025142	22092943	0
CDC42	chr1	22052627	22101360	0
WNT4	chr1	22117313	22143969	0
ZBTB40	chr1	22428838	22531157	0
EPHA8	chr1	22563489	22603595	0
C1QA	chr1	22635077	22639678	0
ENSG00000289692	chr1	22636506	22644067	0
C1QC	chr1	22643014	22648110	0
C1QB	chr1	22652762	22661637	0
EPHB2	chr1	22710839	22921500	1
LACTBL1	chr1	22953043	22972866	0
TEX46	chr1	23010834	23019100	0
KDM1A	chr1	23019443	23083689	0
LUZP1	chr1	23084030	23177808	0
HTR1D	chr1	23191895	23217502	0
HNRNPR	chr1	23303771	23344336	0
ZNF436	chr1	23359448	23369836	0
TCEA3	chr1	23380909	23424748	0
ASAP3	chr1	23428563	23484568	0
E2F2	chr1	23506438	23531233	0
ID3	chr1	23557926	23559501	0
RPL11	chr1	23691742	23696835	0
ELOA	chr1	23743448	23762059	0
PITHD1	chr1	23778418	23788232	0
LYPLA2	chr1	23791145	23795539	2
GALE	chr1	23795599	23800781	2
HMGCL	chr1	23801885	23838620	0
FUCA1	chr1	23845077	23868290	0
CNR2	chr1	23870515	23913362	0
PNRC2	chr1	23956839	23963462	0
SRSF10	chr1	23964347	23980927	0
MYOM3	chr1	24056035	24112135	0
IL22RA1	chr1	24119771	24143140	0
IFNLR1	chr1	24154168	24187959	0
GRHL3	chr1	24199558	24364482	2
STPG1	chr1	24356999	24416934	0
NIPAL3	chr1	24415802	24472976	0
RCAN3	chr1	24502351	24541040	0
NCMAP	chr1	24556087	24609328	0
SRRM1	chr1	24631716	24673281	0
CLIC4	chr1	24745382	24844321	2
RUNX3	chr1	24899511	24965121	0
SYF2	chr1	25222276	25232502	0
RSRP1	chr1	25242249	25338213	0
RHD	chr1	25272393	25330445	0
TMEM50A	chr1	25338317	25362361	0
RHCE	chr1	25362249	25430192	0
MACO1	chr1	25430858	25500209	0
LDLRAP1	chr1	25543606	25568886	0
MAN1C1	chr1	25616791	25786206	0
SELENON	chr1	25800193	25818221	0
ENSG00000255054	chr1	25811470	25823744	0
MTFR1L	chr1	25818640	25832942	0
AUNIP	chr1	25831913	25859458	0
PAQR7	chr1	25861484	25875708	0
STMN1	chr1	25884181	25906991	0
PAFAH2	chr1	25959767	25998117	0
EXTL1	chr1	26019884	26036464	1
SLC30A2	chr1	26037252	26046118	0
TRIM63	chr1	26051301	26068436	0
PDIK1L	chr1	26111165	26125555	0
FAM110D	chr1	26159079	26163962	0
C1orf232	chr1	26164101	26168963	0
ZNF593OS	chr1	26169516	26171832	0
ZNF593	chr1	26169908	26170873	0
CNKSR1	chr1	26177484	26189884	0
CATSPER4	chr1	26190561	26202968	0
CEP85	chr1	26234200	26278808	0
SH3BGRL3	chr1	26280086	26281522	0
UBXN11	chr1	26281328	26318363	0
CD52	chr1	26317958	26320523	0
CRYBG2	chr1	26321698	26360080	0
ZNF683	chr1	26361634	26374522	0
LIN28A	chr1	26410817	26429728	0
DHDDS	chr1	26432282	26471306	0
HMGN2	chr1	26472440	26476642	0
RPS6KA1	chr1	26529761	26575030	0
ARID1A	chr1	26693236	26782104	0
PIGV	chr1	26787054	26800659	0
ZDHHC18	chr1	26826688	26857604	0
SFN	chr1	26863149	26864456	0
GPN2	chr1	26876132	26890283	0
GPATCH3	chr1	26890488	26900467	0
NUDC	chr1	26900238	26946871	0
NR0B2	chr1	26911489	26913975	0
KDF1	chr1	26949562	26960468	0
TRNP1	chr1	26993692	27000886	0
TENT5B	chr1	27005020	27012850	0
SLC9A1	chr1	27098809	27166981	0
WDTC1	chr1	27234632	27308636	0
TMEM222	chr1	27322145	27336400	0
SYTL1	chr1	27342020	27353937	0
MAP3K6	chr1	27355184	27366961	0
FCN3	chr1	27369110	27374824	0
CD164L2	chr1	27379176	27383333	0
GPR3	chr1	27392622	27395814	0
WASF2	chr1	27404230	27490167	0
AHDC1	chr1	27534035	27604431	0
FGR	chr1	27612064	27635185	0
IFI6	chr1	27666064	27672212	0
FAM76A	chr1	27725961	27763116	0
STX12	chr1	27773219	27824443	0
PPP1R8	chr1	27830782	27851676	0
THEMIS2	chr1	27872543	27886685	0
RPA2	chr1	27891524	27914746	0
SMPDL3B	chr1	27935000	27959157	0
XKR8	chr1	27959588	27968093	0
EYA3	chr1	27970344	28088637	0
PTAFR	chr1	28147166	28193936	0
DNAJC8	chr1	28199456	28233029	0
ATP5IF1	chr1	28236109	28246906	0
SESN2	chr1	28259518	28282491	0
MED18	chr1	28329002	28335965	0
PHACTR4	chr1	28369582	28500364	0
RCC1	chr1	28505943	28539300	0
TRNAU1AP	chr1	28553085	28578545	0
TAF12	chr1	28587829	28648291	2
RAB42	chr1	28592200	28595449	0
GMEB1	chr1	28668778	28719353	0
YTHDF2	chr1	28736621	28769775	0
OPRD1	chr1	28812170	28871267	0
EPB41	chr1	28887091	29120046	0
TMEM200B	chr1	29119429	29123903	0
SRSF4	chr1	29147743	29181900	0
MECR	chr1	29192657	29230942	0
PTPRU	chr1	29236516	29326813	0
ENSG00000289710	chr1	30576655	30576825	0
MATN1	chr1	30711277	30723585	0
LAPTM5	chr1	30732469	30757774	0
SDC3	chr1	30869466	30908758	0
PUM1	chr1	30931506	31065991	0
NKAIN1	chr1	31179745	31239887	0
SNRNP40	chr1	31259568	31296788	0
ZCCHC17	chr1	31296982	31364953	0
FABP3	chr1	31365253	31376850	0
SERINC2	chr1	31409565	31434680	0
TINAGL1	chr1	31576485	31587686	0
HCRTR1	chr1	31617686	31632518	0
PEF1	chr1	31629866	31644896	0
COL16A1	chr1	31652263	31704319	0
ADGRB2	chr1	31727117	31764893	0
SPOCD1	chr1	31790422	31816022	0
PTP4A2	chr1	31906421	31944856	0
ENSG00000288678	chr1	31919563	31938010	0
KHDRBS1	chr1	32013868	32060850	0
TMEM39B	chr1	32072031	32102866	0
KPNA6	chr1	32108056	32176563	0
TXLNA	chr1	32179675	32198285	0
CCDC28B	chr1	32200595	32205453	0
IQCC	chr1	32205671	32208682	0
DCDC2B	chr1	32209089	32216192	0
TMEM234	chr1	32214472	32222359	0
EIF3I	chr1	32221077	32245397	0
FAM167B	chr1	32247222	32248856	0
LCK	chr1	32251244	32286165	0
HDAC1	chr1	32292083	32333635	0
MARCKSL1	chr1	32333839	32336233	0
TSSK3	chr1	32351521	32364312	0
FAM229A	chr1	32361270	32364278	0
BSDC1	chr1	32364633	32394731	0
ENSG00000254553	chr1	32465057	32600792	1
ZBTB8B	chr1	32465072	32496686	1
ZBTB8A	chr1	32539427	32605941	0
ZBTB8OS	chr1	32600172	32650903	0
RBBP4	chr1	32651142	32686211	0
SYNC	chr1	32679906	32703596	0
KIAA1522	chr1	32741830	32774970	0
YARS1	chr1	32775237	32818031	0
S100PBP	chr1	32816767	32858875	0
FNDC5	chr1	32862268	32872482	0
HPCA	chr1	32885994	32898441	0
TMEM54	chr1	32894594	32901438	0
RNF19B	chr1	32936445	32964809	0
AK2	chr1	33007986	33080996	0
AZIN2	chr1	33081104	33123492	0
TRIM62	chr1	33145399	33182059	0
ZNF362	chr1	33256492	33300719	0
A3GALT2	chr1	33306766	33321098	2
PHC2	chr1	33323623	33431095	0
ZSCAN20	chr1	33472645	33501643	0
CSMD2	chr1	33513998	34165842	0
HMGB4	chr1	33860475	33864791	0
C1orf94	chr1	34166883	34219131	0
SMIM12	chr1	34712737	34859755	0
GJB5	chr1	34755047	34758512	0
GJB4	chr1	34759740	34762327	0
GJB3	chr1	34781214	34786369	0
GJA4	chr1	34792999	34795747	0
DLGAP3	chr1	34865436	34929650	0
ENSG00000284773	chr1	34974356	34985313	0
TMEM35B	chr1	34981380	34985347	0
ENSG00000271741	chr1	34981533	35031741	0
ZMYM6	chr1	34986165	35031945	0
ZMYM1	chr1	35032172	35115859	0
SFPQ	chr1	35176378	35193446	0
ZMYM4	chr1	35268709	35422058	0
KIAA0319L	chr1	35393883	35557950	0
NCDN	chr1	35557473	35567274	0
TFAP2E	chr1	35573314	35595328	0
PSMB2	chr1	35599541	35641526	0
C1orf216	chr1	35713877	35718894	0
CLSPN	chr1	35720218	35769978	0
AGO4	chr1	35808016	35857890	0
AGO1	chr1	35869808	35930532	0
AGO3	chr1	35930718	36072500	0
TEKT2	chr1	36084094	36088275	0
ADPRS	chr1	36088892	36093932	0
COL8A2	chr1	36095239	36125222	0
TRAPPC3	chr1	36136570	36156053	0
MAP7D1	chr1	36155579	36180849	0
THRAP3	chr1	36224432	36305357	0
SH3D21	chr1	36306368	36329340	0
EVA1B	chr1	36322030	36324154	0
STK40	chr1	36339624	36385924	0
LSM10	chr1	36391238	36397908	0
OSCP1	chr1	36415827	36450451	0
MRPS15	chr1	36455718	36464384	0
CSF3R	chr1	36466043	36483278	0
GRIK3	chr1	36795527	37034515	2
ZC3H12A	chr1	37474580	37484377	0
MEAF6	chr1	37489993	37514766	0
SNIP1	chr1	37534449	37554293	0
DNALI1	chr1	37556919	37566857	0
GNL2	chr1	37566816	37595937	0
RSPO1	chr1	37611350	37634892	0
C1orf109	chr1	37681570	37692249	0
CDCA8	chr1	37692481	37709719	0
EPHA10	chr1	37713880	37765133	0
MANEAL	chr1	37793847	37801137	0
YRDC	chr1	37802945	37808208	0
C1orf122	chr1	37806979	37809454	0
MTF1	chr1	37809574	37859592	0
INPP5B	chr1	37860697	37947053	0
SF3A3	chr1	37956975	37990075	0
FHL3	chr1	37996770	38005606	0
UTP11	chr1	38009258	38024820	0
POU3F1	chr1	38043829	38046793	0
RRAGC	chr1	38838198	38859772	0
MYCBP	chr1	38862493	38873368	0
ENSG00000274944	chr1	38864501	38881617	0
GJA9	chr1	38874069	38881587	0
RHBDL2	chr1	38885807	38941830	0
AKIRIN1	chr1	38991276	39006059	0
NDUFS5	chr1	39026318	39034636	0
MACF1	chr1	39081316	39487177	0
BMP8A	chr1	39491636	39529869	0
PABPC4	chr1	39560709	39576790	0
HEYL	chr1	39623435	39639643	0
NT5C1A	chr1	39651229	39672107	0
HPCAL4	chr1	39678648	39691485	0
PPIE	chr1	39692182	39763914	0
BMP8B	chr1	39757182	39788865	0
OXCT2	chr1	39769523	39771348	0
TRIT1	chr1	39838110	39883511	0
MYCL	chr1	39895428	39902256	0
MFSD2A	chr1	39955112	39969968	0
CAP1	chr1	40040233	40072649	0
PPT1	chr1	40072710	40097260	0
RLF	chr1	40161387	40240921	0
TMCO2	chr1	40245947	40251684	0
ZMPSTE24	chr1	40258041	40294180	0
COL9A2	chr1	40300489	40317813	0
SMAP2	chr1	40344850	40423326	0
ZFP69B	chr1	40450102	40463718	0
ZFP69	chr1	40477290	40496343	0
EXO5	chr1	40508741	40516038	0
ZNF684	chr1	40531573	40548167	0
RIMS3	chr1	40620680	40665682	0
NFYC	chr1	40691648	40771603	0
KCNQ4	chr1	40783787	40840452	0
CITED4	chr1	40861054	40862363	0
CTPS1	chr1	40979300	41012565	0
SLFNL1	chr1	41015589	41023237	0
SCMH1	chr1	41027202	41242306	0
FOXO6	chr1	41361922	41383590	0
EDN2	chr1	41478775	41484683	0
HIVEP3	chr1	41506365	42035925	0
ENSG00000284895	chr1	41585306	41628816	0
GUCA2B	chr1	42153410	42155820	0
GUCA2A	chr1	42162690	42164745	0
FOXJ3	chr1	42176539	42335877	0
RIMKLA	chr1	42380792	42424232	0
ZMYND12	chr1	42430329	42456253	0
PPCS	chr1	42456117	42473385	0
CCDC30	chr1	42463221	42657190	0
PPIH	chr1	42658335	42676758	0
YBX1	chr1	42682418	42703805	0
CLDN19	chr1	42733093	42740254	0
P3H1	chr1	42746335	42767084	0
C1orf50	chr1	42767245	42779491	0
ENSG00000283580	chr1	42767292	42794493	0
TMEM269	chr1	42784991	42816619	0
SVBP	chr1	42807052	42817397	0
ERMAP	chr1	42817122	42844991	0
ZNF691	chr1	42846573	42852477	0
SLC2A1	chr1	42925353	42958893	0
CFAP144	chr1	43145153	43156396	0
EBNA1BP2	chr1	43164175	43270936	0
CFAP57	chr1	43172330	43254358	0
TMEM125	chr1	43269983	43274002	0
C1orf210	chr1	43281877	43285617	0
TIE1	chr1	43300982	43323108	0
MPL	chr1	43337818	43354466	0
CDC20	chr1	43358981	43363203	0
ELOVL1	chr1	43363398	43368074	1
MED8	chr1	43383917	43389808	0
SZT2	chr1	43389882	43454247	0
HYI	chr1	43450989	43453989	0
PTPRF	chr1	43525187	43623666	0
KDM4A	chr1	43650149	43705518	0
ENSG00000284989	chr1	43650149	43931014	0
ST3GAL3	chr1	43705824	43931165	0
ARTN	chr1	43933320	43937240	0
IPO13	chr1	43946950	43968022	0
DPH2	chr1	43970000	43973369	0
ATP6V0B	chr1	43974487	43978295	0
B4GALT2	chr1	43978943	43991170	0
CCDC24	chr1	43991359	43996528	0
SLC6A9	chr1	43991500	44031467	0
KLF17	chr1	44118821	44135140	0
KLF18	chr1	44137821	44141631	0
DMAP1	chr1	44213455	44220681	0
ERI3	chr1	44221070	44355260	0
RNF220	chr1	44405194	44651723	0
TMEM53	chr1	44635238	44674481	0
ARMH1	chr1	44674692	44725591	0
KIF2C	chr1	44739818	44767767	0
RPS8	chr1	44775251	44778779	0
BEST4	chr1	44783585	44788170	0
PLK3	chr1	44800377	44805990	0
DYNLT4	chr1	44805893	44807351	0
BTBD19	chr1	44808523	44815585	0
PTCH2	chr1	44819844	44843253	0
EIF2B3	chr1	44850522	44986722	0
HECTD3	chr1	45002540	45011324	0
UROD	chr1	45010950	45015575	0
ZSWIM5	chr1	45016399	45306209	0
HPDL	chr1	45326895	45328710	0
MUTYH	chr1	45329163	45340893	0
ENSG00000288208	chr1	45329262	45491155	0
TOE1	chr1	45340052	45343973	0
TESK2	chr1	45343883	45491163	0
CCDC163	chr1	45493866	45500079	0
MMACHC	chr1	45500300	45513382	0
PRDX1	chr1	45510914	45542732	0
AKR1A1	chr1	45550543	45570049	0
NASP	chr1	45583846	45618904	0
CCDC17	chr1	45620044	45624057	0
GPBP1L1	chr1	45627304	45688113	0
TMEM69	chr1	45688181	45694436	0
IPP	chr1	45694324	45750653	0
MAST2	chr1	45786987	46036122	0
PIK3R3	chr1	46040140	46133036	0
P3R3URF-PIK3R3	chr1	46043661	46176488	0
TSPAN1	chr1	46175073	46185962	0
P3R3URF	chr1	46175486	46176488	0
POMGNT1	chr1	46188683	46220305	2
LURAP1	chr1	46203334	46221256	2
RAD54L	chr1	46246461	46278480	0
LRRC41	chr1	46261196	46303616	0
UQCRH	chr1	46303698	46316776	0
NSUN4	chr1	46340789	46365152	0
FAAH	chr1	46394317	46413848	0
DMBX1	chr1	46489836	46516216	0
TMEM275	chr1	46532166	46543969	0
KNCN	chr1	46545641	46551647	0
MKNK1	chr1	46557407	46616843	0
MOB3C	chr1	46607719	46616811	0
ATPAF1	chr1	46632737	46673867	0
TEX38	chr1	46668855	46673594	0
EFCAB14	chr1	46674659	46719146	0
CYP4B1	chr1	46757838	46819413	0
CYP4A11	chr1	46929177	46941484	0
CYP4X1	chr1	47023669	47050751	0
CYP4Z1	chr1	47067231	47118318	0
CYP4A22	chr1	47137435	47149727	0
PDZK1IP1	chr1	47183582	47191044	0
TAL1	chr1	47216290	47232225	0
STIL	chr1	47250139	47314892	0
CMPK1	chr1	47333790	47394866	0
FOXE3	chr1	47416285	47418052	0
FOXD2	chr1	47438044	47440691	0
TRABD2B	chr1	47760528	47997385	0
SLC5A9	chr1	48222685	48248644	0
SPATA6	chr1	48295373	48472208	0
AGBL4	chr1	48532854	50023954	0
BEND5	chr1	48727519	48776969	0
ELAVL4	chr1	50024029	50203772	0
DMRTA2	chr1	50417550	50423443	0
FAF1	chr1	50437028	50960267	0
CDKN2C	chr1	50960745	50974634	0
C1orf185	chr1	51102221	51148086	0
RNF11	chr1	51236273	51273447	0
TTC39A	chr1	51287258	51345116	0
EPS15	chr1	51354263	51519328	0
OSBPL9	chr1	51577179	51798427	0
NRDC	chr1	51789191	51878805	0
RAB3B	chr1	51907956	51990700	0
TXNDC12	chr1	52020131	52055191	0
ENSG00000285839	chr1	52020153	52033350	0
KTI12	chr1	52032103	52033810	0
BTF3L4	chr1	52056199	52090716	0
ZFYVE9	chr1	52142089	52348671	0
CC2D1B	chr1	52345723	52366205	0
ORC1	chr1	52372829	52404423	0
PRPF38A	chr1	52404602	52420836	0
